ID,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
356,Mansion House,532347,180962,51.5120916,-0.09419765724,1,EC4N 6JD
357,Marble Arch,527875,181056,51.51396523,-0.1585712148,1,W1C 2JS
358,Maryland,539175,184881,51.54566828,0.005681654184,3,E15 1SA
359,Marylebone,527510,181985,51.5223964,-0.1634925623,1,NW1 6JJ
360,Maze Hill,539194,177909,51.48301366,0.003204896819,3,SE10 9XG
361,Meridian Water,535062,191741,51.60831171,-0.05095990638,4,N18 3HF
362,Merton Park,525182,169798,51.41339128,-0.2013420288,"3,4,5,6",SW19 3HA
363,Mile End,536577,182545,51.52531092,-0.03266608427,2,E3 4DH
364,Mill Hill Broadway,521300,191900,51.61287072,-0.2495370649,4,NW7 2JU
365,Mill Hill East,524057,191460,51.6083163,-0.2098957103,4,NW7 1BS
366,Mitcham,527345,168082,51.39748834,-0.1708716455,"3,4,5,6",CR4 4BD
367,Mitcham Eastfields,528488,169323,51.40838366,-0.1540017174,3,CR4 2ND
368,Mitcham Junction,528292,167611,51.39304231,-0.1574366422,4,CR4 4HN
369,Monument,532907,180814,51.51063028,-0.08618831326,1,EC4R 9AA
370,Moor Park,508563,193509,51.62992996,-0.4329130165,"6,7",HA6 2JQ
371,Moorgate,532688,181677,51.518437,-0.08901768742,1,EC2M 6TX
372,Morden,525664,168563,51.40218564,-0.1948519795,4,SM4 5AZ
373,Morden Road,525788,169310,51.40887158,-0.1928056751,"3,4,5,6",SW19 3BX
374,Morden South,525301,167900,51.39630737,-0.2003015597,4,SM4 5AN
375,Mornington Crescent,529193,183359,51.53436199,-0.1387443487,2,NW1 2JA
376,Mortlake,520458,175779,51.4681675,-0.2672033098,3,SW14 8LN
377,Motspur Park,522581,167724,51.39531924,-0.2394397426,4,KT3 6JJ
378,Mottingham,542600,173197,51.43982506,0.05032420233,4,SE9 4EN
379,Mudchute,537908,178789,51.49123616,-0.01495994488,2,E14 9UW
380,Neasden,521415,185422,51.55462731,-0.2501150417,3,NW10 1PH
381,New Addington,538187,162255,51.34259048,-0.01738332707,"3,4,5,6",CR0 0DE
382,New Barnet,526502,195996,51.64853649,-0.1729697123,5,EN5 1QT
383,New Beckenham,536718,170463,51.41670549,-0.03530494925,4,BR3 1QW
384,New Cross,536750,177110,51.47642936,-0.03227881145,2,SE14 6LD
385,New Cross Gate,536250,176967,51.47526487,-0.03952905185,2,SE14 6AR
386,New Eltham,544005,172999,51.43769078,0.07044461869,4,SE9 2AB
387,New Malden,521392,168612,51.40355549,-0.2562181023,4,KT3 4PX
388,New Southgate,528672,192218,51.61409344,-0.1430097749,4,N11 1QH
389,Newbury Park,544947,188378,51.57563851,0.0903031582,4,IG2 7RN
390,Nine Elms,530058,177332,51.48000105,-0.1285009828,1,
391,Norbiton,519424,169495,51.41190889,-0.2841999432,5,KT2 7AZ
392,Norbury,530650,169690,51.4111883,-0.122799401,3,SW16 3RW
393,North Acton,520831,181937,51.523432,-0.2597295239,"2,3",W3 6UP
394,North Dulwich,532950,174567,51.45448167,-0.08791868027,"2,3",SE21 7BX
395,North Ealing,518816,181243,51.51762182,-0.2889935478,3,W5 3AF
396,North Greenwich,539168,179827,51.50025516,0.003586259126,"2,3",SE10 0PH
397,North Harrow,513540,188578,51.58463071,-0.3626329856,5,HA2 7SR
398,North Sheen,519132,175442,51.46541914,-0.286397462,3,TW9 4QA
399,North Wembley,517663,186198,51.5623958,-0.3039482139,4,HA0 3NT
400,Northfields,517051,179296,51.50049116,-0.315064813,3,W13 9QU
401,Northolt,513228,184519,51.5482123,-0.3684405876,5,UB5 4AA
402,Northolt Park,513829,185579,51.55761847,-0.3594341889,5,UB5 4XE
403,Northumberland Park,534861,191035,51.60201565,-0.05413202547,3,N17 0HY
404,Northwick Park,516634,187967,51.57850817,-0.318199386,4,HA3 0AT
405,Northwood,509236,191441,51.61121292,-0.4238377762,6,HA6 2XL
406,Northwood Hills,510267,190305,51.60080198,-0.4093113481,6,HA6 1NZ
407,Norwood Junction,534001,168193,51.3969542,-0.07520985621,4,SE25 5AG
408,Notting Hill Gate,525296,180481,51.50937502,-0.1959216162,"1,2",W11 3HT
409,Nunhead,535293,175975,51.4665799,-0.05367974248,2,SE15 3XE
410,Oakleigh Park,527001,194800,51.63767609,-0.166194965,4,EN5 1BU
411,Oakwood,529349,195968,51.64763775,-0.1318535388,5,N14 4UT
412,Ockendon,559004,182828,51.52199012,0.29048348,7,RM15 6PD
413,Old Street,532764,182474,51.52558133,-0.08762295739,1,EC1V 9NR
414,Orpington,545500,165900,51.3735202,0.08902890194,6,BR6 0SX
415,Osterley,514529,177094,51.48121624,-0.3520960888,4,TW7 4PU
416,Oval,531108,177516,51.48141242,-0.1133210751,2,SE11 4PP
417,Oxford Circus,529102,181227,51.51522317,-0.1408361701,1,W1C 2JS
418,Paddington,526680,181185,51.5153935,-0.1757367503,1,W2 1RH
419,Palmers Green,530925,192798,51.61878657,-0.1102724993,4,N13 4PN
420,Park Royal,519074,182274,51.52683356,-0.284928913,3,W5 3EL
421,Parsons Green,525029,176645,51.47495983,-0.20112449,2,SW6 4HU
422,Peckham Rye,534152,176271,51.46951125,-0.06998355291,2,SE15 5DQ
423,Penge East,535374,170791,51.41997526,-0.05449526464,4,SE20 7BQ
424,Penge West,534952,170567,51.41806283,-0.06064576434,4,SE20 8NU
425,Perivale,516404,183270,51.53634129,-0.3230704159,4,UB6 7NP
426,Petts Wood,544440,167548,51.38859912,0.0744800301,5,BR5 1LZ
427,Phipps Bridge,526534,168717,51.40337643,-0.1822967869,"3,4,5,6",CR4 3QN
428,Piccadilly Circus,529612,180625,51.50969653,-0.1337115962,1,W1J 9HS
429,Pimlico,529711,178386,51.48955265,-0.1331082574,1,SW1V 2JA
430,Pinner,512233,189409,51.59236106,-0.3812237817,5,HA5 5LZ
431,Plaistow,540058,183305,51.53128837,0.017780642,3,E13 0DY
432,Plumstead,544803,178820,51.48979257,0.08429961697,4,SE18 7EA
433,Ponders End,536097,195599,51.64273064,-0.03452510446,5,EN3 4LA
434,Pontoon Dock,541226,180102,51.50221627,0.03332570755,3,E16 2SB
435,Poplar,537698,180603,51.50758804,-0.01727549329,2,E14 0DS
436,Preston Road,518260,187292,51.57210325,-0.2949720075,4,HA3 0PS
437,Prince Regent,541215,180905,51.50943461,0.03348857411,3,E16 3HE
438,Pudding Mill Lane,537930,183585,51.53432784,-0.01276851194,"2,3",E15 2PH
439,Purfleet,555417,178174,51.4811734,0.2367748391,7,RM16 1PL
440,Purley,531500,161497,51.33736337,-0.1136135171,6,CR8 2AP
441,Purley Oaks,532503,162594,51.34698918,-0.0988153325,6,CR2 0ND
442,Putney,523992,175061,51.46095218,-0.2166033708,"2,3",SW15 1RT
443,Putney Bridge,524476,175842,51.467865,-0.2093654143,2,SW6 3UH
444,Queens Park,524612,183239,51.53431232,-0.204798147,2,NW6 6HJ
445,Queens Road Peckham,535015,176825,51.47428462,-0.05735497867,2,SE15 2JR
446,Queensbury,518802,189728,51.59388251,-0.2863315926,4,HA8 5NP
447,Queenstown Road,528763,176738,51.47495889,-0.1473553108,2,SW8 3RX
448,Queensway,525883,180615,51.51044893,-0.187419901,1,W2 4SS
449,Rainham,552097,182099,51.51734083,0.1906919776,6,RM13 9YH
450,Ravensbourne,538699,170201,51.41387037,-0.00693781553,4,BR3 5HE
451,Ravenscourt Park,522558,178711,51.4940676,-0.2359692299,2,W6 0UG
452,Rayners Lane,512979,187538,51.57539613,-0.3710608057,5,HA5 5EG
453,Raynes Park,523206,169303,51.40937497,-0.2299129363,4,SW20 8NE
454,Reading,471527,173813,51.45878457,-0.971877621,,RG1 1LZ
455,Rectory Road,534001,186199,51.55876337,-0.06838566445,2,N16 7QB
456,Redbridge,541833,188371,51.57636699,0.04539404409,4,IG4 5BG
457,Reedham,530835,160821,51.33144151,-0.1234026235,6,CR8 2DG
458,Reeves Corner,531895,165726,51.37527703,-0.1063797776,"3,4,5,6",CR0 1XP
459,Regents Park,528765,182174,51.52381044,-0.1453444097,1,NW1 5HA
460,Richmond,518072,175174,51.46323239,-0.3017391287,4,TW9 2AZ
461,Rickmansworth,505717,194605,51.64032224,-0.473684571,7,WD3 1QY
462,Riddlesdown,532497,161001,51.33267467,-0.09949366691,6,CR8 1HN
463,Roding Valley,541612,192882,51.61695652,0.04402620713,4,IG9 6LN
464,Romford,551377,188455,51.57464189,0.1830552743,6,RM1 1SX
465,Rotherhithe,535239,179870,51.50159442,-0.05296629625,2,SE16 4LF
466,Royal Albert,542029,180823,51.50849395,0.04517714519,3,E16 2QD
467,Royal Oak,525764,181485,51.51829405,-0.1888236715,2,W2 6ET
468,Royal Victoria,540139,180833,51.50905527,0.01796541259,3,E16 1DE
469,Ruislip,509510,187102,51.57216123,-0.4212349156,6,HA4 8LD
470,Ruislip Gardens,510367,185763,51.55995951,-0.4092941014,5,HA4 6LG
471,Ruislip Manor,510088,187258,51.5734509,-0.4128493444,6,HA4 9AA
472,Russell Square,530207,182122,51.52301284,-0.1245901969,1,WC1N 1LG
473,Sanderstead,532855,162743,51.3482461,-0.09370849955,6,CR2 0PL
474,Sandilands,533869,165749,51.37502215,-0.07802658942,"3,4,5,6",CR0 5PN
475,Selhurst,532993,167636,51.39218563,-0.08989903662,4,SE25 6LL
476,Seven Kings,545401,187095,51.56399351,0.09631957529,4,IG3 8RE
477,Seven Sisters,533646,188927,51.58336204,-0.07246682252,3,N15 5LA
478,Shadwell,534936,180942,51.51130006,-0.05691920694,2,E1 2QE
479,Shenfield,561356,195022,51.63087364,0.3299522708,7,CM15 8JD
480,Shepherd's Bush,523741,179904,51.5045318,-0.2185191567,2,W12 8LH
481,Shepherd's Bush Market,523121,180039,51.50588034,-0.2274004904,2,W12 7JD
482,Shoreditch High Street,533501,182258,51.5234667,-0.07708742433,1,E1 6AW
483,Shortlands,539399,169300,51.40560237,0.00276754439,4,BR2 0JA
484,Sidcup,546300,172698,51.43439863,0.1033153597,5,DA15 7AW
485,Silver Street,533544,192472,51.61524236,-0.07258974126,4,N18 1QX
486,Slade Green,552250,176584,51.46774797,0.1905183897,6,DA8 2NX
487,Sloane Square,528080,178657,51.49235951,-0.1564888561,1,SW1W 8BB
488,Slough,497838,180157,51.51187888,-0.5915248253,,SL1 1XW
489,Snaresbrook,540161,188828,51.58089131,0.02146392781,4,E11 1QE
490,South Acton,520166,179279,51.49968539,-0.2702152033,3,W3 0DS
491,South Bermondsey,535156,178319,51.48767653,-0.05475482107,2,SE16 2PL
492,South Croydon,532896,164358,51.36275005,-0.09251736279,5,CR2 7PA
493,South Ealing,517605,179437,51.50164352,-0.3070402395,3,W5 4QB
494,South Greenford,515462,182991,51.53402701,-0.3367374754,4,UB6 2WE
495,South Hampstead,526425,184081,51.54147656,-0.1783711981,2,NW8 0DJ
496,South Harrow,514334,186376,51.56467959,-0.3518939637,5,HA2 8HN
497,South Kensington,526865,178817,51.49407108,-0.1739230213,1,SW7 2NB
498,South Kenton,517350,187153,51.57104395,-0.3081429718,4,HA9 8QT
499,South Merton,524917,168662,51.40324022,-0.2055502989,4,SW20 9JT
500,South Quay,537636,179853,51.50086358,-0.01846069267,2,E14 9SH
501,South Ruislip,511080,185437,51.55688965,-0.399115901,5,HA4 6TP
502,South Tottenham,533697,188599,51.58040247,-0.07185595631,3,N15 6ND
503,South Wimbledon,525828,170033,51.4153604,-0.1919745441,"3,4",SW19 1DE
504,South Woodford,540577,190026,51.59155266,0.02794307837,4,E18 1JJ
505,Southall,512620,179804,51.50595629,-0.3787111814,4,UB2 4AA
506,Southbury,534803,196199,51.64843364,-0.0529833104,5,EN3 4HW
507,Southfields,524730,173291,51.44488298,-0.2066093831,3,SW18 5RJ
508,Southgate,529675,194278,51.63237564,-0.1277700463,4,N14 5BH
509,Southwark,531566,180025,51.50385345,-0.1057949389,1,SE1 8NW
510,St Helier,525408,167191,51.38991184,-0.1990145897,4,SM4 6SF
511,St James Street,536402,188694,51.58060861,-0.03280456168,3,E17 7PJ
512,St Johns,537400,176298,51.46897526,-0.02324066181,2,SE8 4EW
513,St Margarets,516732,174250,51.45520547,-0.3213242419,4,TW1 2LH
514,St Mary Cray,546698,168298,51.39475959,0.1072179002,6,BR5 3SN
515,St Pancras,530122,182959,51.5305542,-0.1255057811,1,NW1 2QP
516,St. James's Park,529629,179503,51.49960958,-0.1338787543,1,SW1H 0BD
517,St. Johns Wood,526742,183352,51.53485413,-0.1740648387,2,NW8 6DN
518,St. Pauls,532105,181261,51.51483514,-0.09757100012,1,EC2V 6AA
519,Stamford Brook,521913,178738,51.49444957,-0.245246306,2,W6 0SB
520,Stamford Hill,533381,187928,51.57444748,-0.07666834157,3,N16 5AG
521,Stanmore,517574,192569,51.61967295,-0.3030992876,5,HA7 4PD
522,Star Lane,539148,182091,51.52060426,0.004191002628,3,E16 4SR
523,Stepney Green,535566,182149,51.52199576,-0.04738252319,2,E1 4AQ
524,Stockwell,530473,176470,51.47215906,-0.1228463034,2,SW9 9AE
525,Stoke Newington,533710,186845,51.56463749,-0.07233539438,2,N16 6YA
526,Stonebridge Park,519690,184197,51.54398611,-0.2754004371,3,NW10 0RW
527,Stoneleigh,522021,164155,51.36336365,-0.2487096535,5,KT17 2JA
528,Stratford,538533,184421,51.54169258,-0.003751641027,3,E15 1AZ
529,Stratford High Street,538729,184032,51.53814895,-0.001080356004,3,E15 3PA
530,Stratford International,538175,184758,51.54480852,-0.008778434013,3,E15 2LZ
531,Strawberry Hill,515500,172502,51.43974728,-0.3396177244,5,TW1 4PP
532,Streatham,529946,171303,51.42584565,-0.1323254957,3,SW16 6HP
533,Streatham Common,529729,170534,51.41898445,-0.135726164,3,SW16 5NT
534,Streatham Hill,530233,172714,51.43846016,-0.1276814805,3,SW2 4PA
535,Sudbury and Harrow Road,516853,185300,51.55449327,-0.3159262359,4,HA0 2HA
536,Sudbury Hill,515427,185584,51.55733901,-0.3363921085,4,HA1 3RA
537,Sudbury Hill Harrow,515490,185697,51.55834173,-0.3354466866,4,HA1 3RJ
538,Sudbury Town,516832,184955,51.55139693,-0.3163434799,4,HA0 2LA
539,Sundridge Park,540599,170200,51.41339384,0.02036510903,4,BR1 3TR
540,Surbiton,518070,167315,51.39259904,-0.3043845544,6,KT6 4PE
541,Surrey Quays,535641,178954,51.49326678,-0.04752998753,2,SE16 2UE
542,Sutton,526028,163823,51.35950582,-0.191302009,5,SM1 1JA
543,Sutton Common,525593,165598,51.37555437,-0.1969199101,4,SM1 3HY
544,Swiss Cottage,526611,184259,51.54303456,-0.1756266026,2,NW3 6HY
545,Sydenham,535311,171609,51.42734116,-0.05508867076,3,SE26 5EU
546,Sydenham Hill,533548,172145,51.43257576,-0.08023020751,3,SE21 7HW
547,Syon Lane,516306,177163,51.48147416,-0.3264950284,4,TW7 5NT
548,Tadworth,523097,156199,51.29162748,-0.2360080126,6,KT20 5SP
549,Taplow,491579,181340,51.52356084,-0.6813848514,,SL6 0NU
550,Tattenham Corner,522593,158140,51.30918092,-0.2425662694,6,KT18 5PR
551,Teddington,516019,170817,51.42449695,-0.3327053306,6,TW11 9AA
552,Temple,530995,180810,51.51104042,-0.1137257495,1,WC2R 2PH
553,Thames Ditton,515721,166818,51.38861552,-0.338292831,6,KT7 0PA
554,Theobalds Grove,535933,201119,51.69237253,-0.03474813434,7,EN8 7BG
555,Therapia Lane,530290,166843,51.38568558,-0.1290171059,"3,4,5,6",CR0 3DD
556,Theydon Bois,545509,199180,51.67255225,0.1028907369,6,CM16 7EU
557,Thornton Heath,532242,168317,51.39848092,-0.1004331645,4,CR7 8RX
558,Tolworth,519834,165603,51.37684286,-0.2796201104,5,KT5 9NU
559,Tooting,527969,170591,51.41989637,-0.1610024706,3,SW17 9JR
560,Tooting Bec,528015,172366,51.4358378,-0.1597004908,3,SW17 9AH
561,Tooting Broadway,527415,171373,51.42704887,-0.1686845258,3,SW17 0SU
562,Tottenham Court Road,529774,181354,51.51621066,-0.1311104379,1,W1D 2DA
563,Tottenham Hale,534483,189465,51.58799768,-0.06018782249,3,N17 9LR
564,Totteridge and Whetstone,526111,193951,51.63024643,-0.1793542612,4,N20 9QP
565,Tower Gateway,533725,180809,51.51039252,-0.07440987691,1,EC3N 1JL
566,Tower Hill,533566,180805,51.51039415,-0.07670119812,1,EC3N 4DJ
567,Tufnell Park,529200,185816,51.55644058,-0.1377421741,2,N19 5QB
568,Tulse Hill,531797,172903,51.43979726,-0.1051225085,3,SE27 9BW
569,Turkey Street,535129,198903,51.67265359,-0.04722993123,6,EN3 5TT
570,Turnham Green,521267,178804,51.49518153,-0.2545245643,2,W4 1LR
571,Turnpike Lane,531524,189650,51.59035797,-0.1028050406,3,N15 3NX
572,Twickenham,516221,173687,51.45025041,-0.3288602201,5,TW1 1BD
573,Twyford,479041,175787,51.47553253,-0.863306993,,RG10 9NA
574,Upminster,556167,186833,51.55876377,0.2514008048,6,RM14 2TD
575,Upminster Bridge,555002,186681,51.55771919,0.2345418919,6,RM12 6PL
576,Upney,545844,184260,51.53840582,0.1015317447,4,IG11 9LS
577,Upper Holloway,529778,186630,51.5636231,-0.1291093627,2,N19 4DJ
578,Upper Warlingham,534100,158383,51.30877213,-0.07748166157,6,CR3 0EP
579,Upton Park,541204,183931,51.53662826,0.03454183972,3,E13 9AP
580,Uxbridge,505698,184161,51.54645373,-0.4771015464,6,UB8 1JZ
581,Vauxhall,530366,177978,51.4857356,-0.123829952,"1,2",SW8 1SR
582,Victoria,528941,179131,51.49642372,-0.1439207051,1,SW1E 5JX
583,Waddon,531151,164828,51.36737907,-0.1173940758,5,CR0 4NA
584,Waddon Marsh,531082,165906,51.37708276,-0.1179874641,"3,4,5,6",CR0 4XT
585,Wallington,528841,163985,51.3603313,-0.1508638338,5,SM6 0DZ
586,Waltham Cross,536520,200343,51.68525722,-0.02656425721,7,EN8 7LU
587,Walthamstow Central,537286,188986,51.58301808,-0.01994054501,3,E17 7LP
588,Walthamstow Queens Road,537020,188815,51.58154616,-0.0238439433,3,E17 7QZ
589,Wandle Park,531422,165505,51.37340053,-0.1132533204,"3,4,5,6",CR0 4JS
590,Wandsworth Common,527719,173530,51.44636534,-0.1635369794,3,SW12 8NL
591,Wandsworth Road,529354,176226,51.47022298,-0.1390376746,2,SW8 4PA
592,Wandsworth Town,525985,175119,51.46103377,-0.1879100357,2,SW18 1SU
593,Wanstead,540685,188176,51.5749022,0.02876047244,4,E11 2NT
594,Wanstead Park,540592,185600,51.55177812,0.02638994305,3,E7 0HU
595,Wapping,535030,180170,51.50434023,-0.05586081436,2,E1W 3PA
596,Warren Street,529253,182272,51.52457976,-0.1382783305,1,NW1 3AA
597,Warwick Avenue,526158,182030,51.52310414,-0.1829532911,2,W9 2PT
598,Waterloo,531050,179933,51.50314646,-0.1132592513,1,SE1 7NY
599,Waterloo East,531332,180054,51.50416843,-0.1091536369,1,SE1 8NH
600,Watford,509579,196610,51.65760442,-0.4172699967,7,WD18 7LE
601,Watford High Street,511360,196098,51.65265307,-0.3916967204,8,WD17 2EG
602,Watford Junction,511023,197340,51.66388237,-0.396171948,,WD17 1ET
603,Wellesley Road,532511,165752,51.37536738,-0.09752490809,"3,4,5,6",CR0 2DD
604,Welling,546096,176073,51.46477726,0.1017750391,4,DA16 3AT
605,Wembley Central,518214,185039,51.5518643,-0.2963923219,4,HA9 6AG
606,Wembley Park,519373,186341,51.563322,-0.2792425481,4,HA9 9AA
607,Wembley Stadium,518924,185366,51.5546541,-0.286046442,4,HA9 8BQ
608,West Acton,519394,181273,51.51776969,-0.2806571709,3,W3 6UP
609,West Brompton,525383,178030,51.4873286,-0.1955388097,2,SW5 9JX
610,West Croydon,532188,166098,51.37855201,-0.1020342923,5,CR0 2TA
611,West Drayton,506124,180122,51.51007045,-0.4721760839,6,UB7 9DY
612,West Dulwich,532798,173053,51.44091168,-0.09067267592,3,SE21 8HN
613,West Ealing,516690,180749,51.51362468,-0.3197829487,3,W13 0NQ
614,West Finchley,525507,191601,51.60926242,-0.1889171075,4,N3 1NT
615,West Ham,539202,182974,51.52852553,0.005317393833,3,E15 3BN
616,West Hampstead,525524,184726,51.54747402,-0.1911265834,2,NW6 2LX
617,West Hampstead Thameslink,525423,184852,51.54862881,-0.1925375176,2,NW6 1XJ
618,West Harrow,514163,187957,51.57892366,-0.3538466899,5,HA1 4HE
619,West India Quay,537471,180505,51.50676263,-0.02058244713,2,E14 4ED
620,West Kensington,524635,178321,51.49010903,-0.2062036922,2,W14 9NL
621,West Norwood,531956,171955,51.43124095,-0.1031891343,3,SE27 0HS
622,West Ruislip,508364,186791,51.56958716,-0.4378601344,6,HA4 7WD
623,West Silvertown,540455,180155,51.50288447,0.02224604668,3,E16 2AT
624,West Sutton,525081,164539,51.3661498,-0.204644546,5,SM1 2EH
625,West Wickham,538266,166563,51.38128418,-0.01457633041,5,BR4 0PY
626,Westbourne Park,524920,181764,51.52098851,-0.2008825128,2,W11 1AB
627,Westcombe Park,540199,178103,51.48450893,0.01774570026,3,SE3 7EQ
628,Westferry,537064,180814,51.50963811,-0.0263231371,2,E14 8AD
629,Westminster,530240,179718,51.50140139,-0.1250020783,1,SW1A 2JR
630,White City,523296,180750,51.51223207,-0.2246319285,2,W12 7RH
631,White Hart Lane,533693,191340,51.60503466,-0.07087032654,3,N17 7RP
632,Whitechapel,534738,181859,51.51958769,-0.05942048499,2,E1 1BY
633,Whitton,514220,173568,51.44958761,-0.3576820534,5,TW2 7LG
634,Whyteleafe,533842,158505,51.30992919,-0.08113516501,6,CR3 0AD
635,Whyteleafe South,534169,157797,51.30348968,-0.07671251441,6,CR3 0BD
636,Willesden Green,523350,184884,51.54937292,-0.2224076012,"2,3",NW2 4QT
637,Willesden Junction,521905,182942,51.53223357,-0.2439091398,3,NW10 4RA
638,Wimbledon,524791,170647,51.42110751,-0.2066628334,3,SW19 1PS
639,Wimbledon Chase,524306,169347,51.40953058,-0.2140897671,3,SW20 8DB
640,Wimbledon Park,525274,172158,51.43458063,-0.199186273,3,SW19 7DZ
641,Winchmore Hill,531529,194494,51.6338867,-0.1009169327,4,N21 3NG
642,Wood Green,531038,190427,51.59745355,-0.1095265888,3,N22 8HH
643,Wood Lane,523314,180464,51.50965783,-0.2244726057,2,W12 7DS
644,Wood Street,538521,189426,51.58666994,-0.001953898013,4,E17 3NZ
645,Woodford,540952,191778,51.6072019,0.03405620242,4,IG8 7QE
646,Woodgrange Park,541861,185332,51.54905261,0.04457249623,"3,4",E7 8AA
647,Woodmansterne,528720,159385,51.31901833,-0.1542621272,6,CR5 3HS
648,Woodside,534716,167115,51.38709758,-0.06534717786,"3,4,5,6",SE25 5DP
649,Woodside Park,525725,192564,51.6178681,-0.1854255027,4,N12 8SE
650,Woolwich,543931,178994,51.4915785,0.07181937853,4,
651,Woolwich Arsenal,543754,178803,51.48990723,0.06919390669,4,SE18 6HX
652,Woolwich Dockyard,542738,178908,51.49110789,0.05461234849,3,SE18 5JY
653,Worcester Park,522192,166133,51.38110409,-0.2455752883,4,KT4 7ND
654,Barking Riverside,544405,184343,51.5195582,0.1160126,4,IG11 0BF
